cited_by_count,country_code,display_name,h_index,id,works_api_url,works_count,topic
944.0,PL,Joanna Rączaszek‐Leonardi,15.0,https://openalex.org/A5076187962,https://api.openalex.org/works?filter=author.id:A5076187962,82.0,Psychology
420.0,US,Gordon Briggs,11.0,https://openalex.org/A5004772750,https://api.openalex.org/works?filter=author.id:A5004772750,55.0,Computer science
4518.0,CA,Chen-Bo Zhong,22.0,https://openalex.org/A5010157443,https://api.openalex.org/works?filter=author.id:A5010157443,72.0,Psychology
218.0,DE,Justin Sulik,8.0,https://openalex.org/A5017232265,https://api.openalex.org/works?filter=author.id:A5017232265,48.0,Psychology
632.0,IR,Reza Hafezi,13.0,https://openalex.org/A5078908212,https://api.openalex.org/works?filter=author.id:A5078908212,50.0,Economics
4937.0,US,Spassena Koleva,17.0,https://openalex.org/A5021023182,https://api.openalex.org/works?filter=author.id:A5021023182,47.0,Psychology
721.0,KR,Deepak Ghimire,12.0,https://openalex.org/A5080116943,https://api.openalex.org/works?filter=author.id:A5080116943,48.0,Computer science
678.0,CN,Xu Chen,11.0,https://openalex.org/A5045480150,https://api.openalex.org/works?filter=author.id:A5045480150,43.0,Computer science
256.0,CA,David J. Connell,8.0,https://openalex.org/A5045522896,https://api.openalex.org/works?filter=author.id:A5045522896,33.0,Geography
235.0,DK,Lars Christian Jensen,9.0,https://openalex.org/A5086253841,https://api.openalex.org/works?filter=author.id:A5086253841,42.0,Computer science
273.0,IT,Mattia Zeni,7.0,https://openalex.org/A5051473473,https://api.openalex.org/works?filter=author.id:A5051473473,28.0,Computer science
243.0,US,Hao Peng,8.0,https://openalex.org/A5059015074,https://api.openalex.org/works?filter=author.id:A5059015074,38.0,Physics
596.0,TW,Jen‐Jeng Chen,10.0,https://openalex.org/A5072306161,https://api.openalex.org/works?filter=author.id:A5072306161,20.0,Biology
396.0,GB,Louise Theodosiou,8.0,https://openalex.org/A5047138057,https://api.openalex.org/works?filter=author.id:A5047138057,33.0,Medicine
133.0,SE,Damir Nešić,6.0,https://openalex.org/A5044809751,https://api.openalex.org/works?filter=author.id:A5044809751,19.0,Computer science
219.0,GB,John Charnley,6.0,https://openalex.org/A5037055429,https://api.openalex.org/works?filter=author.id:A5037055429,26.0,Computer science
95.0,IT,Laura Pollacci,4.0,https://openalex.org/A5033722315,https://api.openalex.org/works?filter=author.id:A5033722315,18.0,Computer science
1164.0,CN,Dongxuan Chen,9.0,https://openalex.org/A5026237459,https://api.openalex.org/works?filter=author.id:A5026237459,23.0,Medicine
119.0,US,Lee Fiorio,5.0,https://openalex.org/A5025403362,https://api.openalex.org/works?filter=author.id:A5025403362,15.0,Computer science
63.0,FI,Juho Pääkkönen,5.0,https://openalex.org/A5053385413,https://api.openalex.org/works?filter=author.id:A5053385413,16.0,Computer science
40.0,DE,Katrin Luise Laezer,3.0,https://openalex.org/A5024507731,https://api.openalex.org/works?filter=author.id:A5024507731,13.0,Psychology
387.0,IT,Fabio Pezzoni,9.0,https://openalex.org/A5071080751,https://api.openalex.org/works?filter=author.id:A5071080751,14.0,Computer science
33.0,AU,Dennis Desmond,3.0,https://openalex.org/A5056942139,https://api.openalex.org/works?filter=author.id:A5056942139,7.0,Computer science
12.0,GB,Ray R. Stroud,1.0,https://openalex.org/A5019636635,https://api.openalex.org/works?filter=author.id:A5019636635,3.0,Computer science
65.0,SE,Selcan Mutgan,2.0,https://openalex.org/A5083043810,https://api.openalex.org/works?filter=author.id:A5083043810,5.0,Sociology
23.0,GB,Andrew Saull,1.0,https://openalex.org/A5073789058,https://api.openalex.org/works?filter=author.id:A5073789058,2.0,Finance
97.0,US,Danielle Montagne,1.0,https://openalex.org/A5016098704,https://api.openalex.org/works?filter=author.id:A5016098704,1.0,Field (mathematics)
178691.0,CN,Hong Zhang,161.0,https://openalex.org/A5069849278,https://api.openalex.org/works?filter=author.id:A5069849278,9896.0,Biology
22004.0,CN,Yicheng Zhang,64.0,https://openalex.org/A5019762150,https://api.openalex.org/works?filter=author.id:A5019762150,864.0,Computer science
65769.0,US,Tor D. Wager,98.0,https://openalex.org/A5006154621,https://api.openalex.org/works?filter=author.id:A5006154621,423.0,Psychology
17529.0,US,Bruce E. Landon,73.0,https://openalex.org/A5072276755,https://api.openalex.org/works?filter=author.id:A5072276755,412.0,Medicine
20692.0,US,C. D. Marsden,76.0,https://openalex.org/A5002796221,https://api.openalex.org/works?filter=author.id:A5002796221,281.0,Medicine
4929.0,US,Nicole L. Simone,34.0,https://openalex.org/A5061960454,https://api.openalex.org/works?filter=author.id:A5061960454,193.0,Medicine
992.0,IR,Morteza Saheb Zamani,16.0,https://openalex.org/A5075732511,https://api.openalex.org/works?filter=author.id:A5075732511,180.0,Computer science
9506.0,US,P.K. Kannan,45.0,https://openalex.org/A5080996343,https://api.openalex.org/works?filter=author.id:A5080996343,145.0,Computer science
1366.0,CA,Christina Rudin-Brown,19.0,https://openalex.org/A5041514992,https://api.openalex.org/works?filter=author.id:A5041514992,114.0,Engineering
1213.0,JP,Christopher P. Benton,20.0,https://openalex.org/A5030407947,https://api.openalex.org/works?filter=author.id:A5030407947,109.0,Computer science
1078.0,GB,6 Perri,18.0,https://openalex.org/A5015539582,https://api.openalex.org/works?filter=author.id:A5015539582,100.0,Political science
375.0,DE,Frank Fichert,9.0,https://openalex.org/A5009509549,https://api.openalex.org/works?filter=author.id:A5009509549,90.0,Political science
1487.0,NO,Kristin Linnerud,17.0,https://openalex.org/A5043564684,https://api.openalex.org/works?filter=author.id:A5043564684,64.0,Economics
1141.0,GB,Louise Ewing,21.0,https://openalex.org/A5089724557,https://api.openalex.org/works?filter=author.id:A5089724557,51.0,Psychology
191.0,US,Eunhwa Yang,7.0,https://openalex.org/A5084100435,https://api.openalex.org/works?filter=author.id:A5084100435,42.0,Economics
287.0,FR,Fabio Fonti,8.0,https://openalex.org/A5044404041,https://api.openalex.org/works?filter=author.id:A5044404041,30.0,Computer science
57.0,US,Wang Zhen,3.0,https://openalex.org/A5028977873,https://api.openalex.org/works?filter=author.id:A5028977873,25.0,Computer science
343.0,IT,G Radeschi,8.0,https://openalex.org/A5025450379,https://api.openalex.org/works?filter=author.id:A5025450379,24.0,Medicine
247.0,CA,Chloe Kovacheff,5.0,https://openalex.org/A5078114084,https://api.openalex.org/works?filter=author.id:A5078114084,12.0,Political science
48.0,BR,Marcos V. Villas,3.0,https://openalex.org/A5051958597,https://api.openalex.org/works?filter=author.id:A5051958597,10.0,Philosophy
178.0,US,Zachary M. Saul,4.0,https://openalex.org/A5049786138,https://api.openalex.org/works?filter=author.id:A5049786138,6.0,Computer science
21.0,US,Rocio E. Ruelas,2.0,https://openalex.org/A5086693513,https://api.openalex.org/works?filter=author.id:A5086693513,6.0,Mathematics
13.0,NL,Ruohuang Jiao,1.0,https://openalex.org/A5015653685,https://api.openalex.org/works?filter=author.id:A5015653685,4.0,Psychology
22.0,US,Harrison Wojcik,1.0,https://openalex.org/A5041566779,https://api.openalex.org/works?filter=author.id:A5041566779,2.0,Political science
6374.0,GB,Johanna D. Moore,39.0,https://openalex.org/A5031400973,https://api.openalex.org/works?filter=author.id:A5031400973,296.0,Computer science
4551.0,ES,Rafael Vázquez,34.0,https://openalex.org/A5071603624,https://api.openalex.org/works?filter=author.id:A5071603624,262.0,Physics
7837.0,CN,Xiuwen Han,46.0,https://openalex.org/A5003959033,https://api.openalex.org/works?filter=author.id:A5003959033,225.0,Chemistry
1507.0,IT,Sara Tonelli,21.0,https://openalex.org/A5067301751,https://api.openalex.org/works?filter=author.id:A5067301751,206.0,Computer science
3853.0,US,W. Dmowski,32.0,https://openalex.org/A5030687844,https://api.openalex.org/works?filter=author.id:A5030687844,115.0,Physics
808.0,CN,Shanshan Feng,14.0,https://openalex.org/A5086115549,https://api.openalex.org/works?filter=author.id:A5086115549,114.0,Computer science
2315.0,GB,Alexander Teytelboym,22.0,https://openalex.org/A5029758720,https://api.openalex.org/works?filter=author.id:A5029758720,109.0,Economics
3782.0,US,Joseph F. DeCarolis,31.0,https://openalex.org/A5085570615,https://api.openalex.org/works?filter=author.id:A5085570615,95.0,Engineering
653.0,CN,Jia-Yue Zhang,13.0,https://openalex.org/A5043761949,https://api.openalex.org/works?filter=author.id:A5043761949,83.0,Biology
795.0,SE,Marisa Ponti,14.0,https://openalex.org/A5081162117,https://api.openalex.org/works?filter=author.id:A5081162117,78.0,Computer science
1064.0,CN,Daifeng Li,18.0,https://openalex.org/A5073166534,https://api.openalex.org/works?filter=author.id:A5073166534,73.0,Computer science
1954.0,US,Raymond A. Yeh,12.0,https://openalex.org/A5076130922,https://api.openalex.org/works?filter=author.id:A5076130922,59.0,Computer science
174.0,CN,Lingzhi Zhao,9.0,https://openalex.org/A5083749009,https://api.openalex.org/works?filter=author.id:A5083749009,58.0,Physics
2024.0,GB,Kevin J. Miller,16.0,https://openalex.org/A5065046630,https://api.openalex.org/works?filter=author.id:A5065046630,56.0,Biology
676.0,US,Chou-Yu Tsai,10.0,https://openalex.org/A5000413474,https://api.openalex.org/works?filter=author.id:A5000413474,44.0,Psychology
271.0,FR,Marta Bieńkiewicz,10.0,https://openalex.org/A5051682931,https://api.openalex.org/works?filter=author.id:A5051682931,43.0,Medicine
1162.0,US,Snehal Patil,13.0,https://openalex.org/A5083444172,https://api.openalex.org/works?filter=author.id:A5083444172,40.0,Biology
255.0,BE,Vsevolod Salnikov,7.0,https://openalex.org/A5085800753,https://api.openalex.org/works?filter=author.id:A5085800753,35.0,Physics
318.0,FR,C. Jacquier,9.0,https://openalex.org/A5089987988,https://api.openalex.org/works?filter=author.id:A5089987988,35.0,Medicine
1407.0,IT,Yuan Chang Leong,11.0,https://openalex.org/A5090526778,https://api.openalex.org/works?filter=author.id:A5090526778,30.0,Psychology
161.0,SE,Reza Khoshkangini,6.0,https://openalex.org/A5003233304,https://api.openalex.org/works?filter=author.id:A5003233304,28.0,Computer science
276.0,US,Todd A. Mooring,5.0,https://openalex.org/A5004321405,https://api.openalex.org/works?filter=author.id:A5004321405,26.0,Geography
277.0,US,Delfina Isaac,4.0,https://openalex.org/A5012114306,https://api.openalex.org/works?filter=author.id:A5012114306,6.0,Computer science
20.0,HU,R. Karädi,2.0,https://openalex.org/A5022379746,https://api.openalex.org/works?filter=author.id:A5022379746,4.0,Mathematics
87.0,US,Yunlong He,3.0,https://openalex.org/A5056662348,https://api.openalex.org/works?filter=author.id:A5056662348,4.0,Computer science
8921.0,DE,Joern Block,50.0,https://openalex.org/A5053684127,https://api.openalex.org/works?filter=author.id:A5053684127,442.0,Economics
5132.0,NL,Marijn de Bruin,37.0,https://openalex.org/A5000465145,https://api.openalex.org/works?filter=author.id:A5000465145,235.0,Medicine
32315.0,IL,Stanley Wasserman,42.0,https://openalex.org/A5091141987,https://api.openalex.org/works?filter=author.id:A5091141987,209.0,Computer science
2226.0,IT,Francesco Masulli,18.0,https://openalex.org/A5078310289,https://api.openalex.org/works?filter=author.id:A5078310289,208.0,Computer science
1881.0,FR,Xavier Bombois,20.0,https://openalex.org/A5033890226,https://api.openalex.org/works?filter=author.id:A5033890226,179.0,Computer science
2240.0,IL,Katrina Ligett,21.0,https://openalex.org/A5076701535,https://api.openalex.org/works?filter=author.id:A5076701535,131.0,Computer science
3380.0,GB,Daniel W. Franks,30.0,https://openalex.org/A5072587310,https://api.openalex.org/works?filter=author.id:A5072587310,117.0,Computer science
1221.0,BE,Wim Delva,22.0,https://openalex.org/A5059429278,https://api.openalex.org/works?filter=author.id:A5059429278,97.0,Medicine
6897.0,US,Mark Fitzgerald,23.0,https://openalex.org/A5044432917,https://api.openalex.org/works?filter=author.id:A5044432917,92.0,Biology
1883.0,IT,Elanor Colleoni,8.0,https://openalex.org/A5025130320,https://api.openalex.org/works?filter=author.id:A5025130320,53.0,Computer science
2214.0,GB,Tim R. Barton,24.0,https://openalex.org/A5087981881,https://api.openalex.org/works?filter=author.id:A5087981881,46.0,Biology
120.0,CH,Dilney Gonçalves,6.0,https://openalex.org/A5081261896,https://api.openalex.org/works?filter=author.id:A5081261896,35.0,Psychology
222.0,IE,Susan Leavy,6.0,https://openalex.org/A5026333045,https://api.openalex.org/works?filter=author.id:A5026333045,32.0,Computer science
98.0,CN,Mi Feng,4.0,https://openalex.org/A5034661396,https://api.openalex.org/works?filter=author.id:A5034661396,31.0,Economics
830.0,US,Solace Shen,11.0,https://openalex.org/A5070519270,https://api.openalex.org/works?filter=author.id:A5070519270,31.0,Psychology
286.0,IT,Luca Paulon,6.0,https://openalex.org/A5068956433,https://api.openalex.org/works?filter=author.id:A5068956433,29.0,Medicine
226.0,IT,Marco Ugo Andrea Sartorio,7.0,https://openalex.org/A5026040440,https://api.openalex.org/works?filter=author.id:A5026040440,24.0,Medicine
1431.0,US,Ryon Lancaster,5.0,https://openalex.org/A5032125874,https://api.openalex.org/works?filter=author.id:A5032125874,20.0,Sociology
363.0,DK,Mette My Madsen,5.0,https://openalex.org/A5037093888,https://api.openalex.org/works?filter=author.id:A5037093888,20.0,Computer science
